datetime,iso_year,iso_week,total_population,total_cases_formula,inc_per_10k,temp_mean,temp_max,temp_min,rh_mean,rh_max,rh_min
2011-01-03,2011,1,4600276,4139.0,8.997286249781535,-6.727380952380953,1.0,-12.2,88.41071428571429,95,80
2011-01-10,2011,2,4600276,6456.0,14.033940572261317,-4.704166666666667,2.5,-14.4,87.78571428571429,97,79
2011-01-17,2011,3,4600276,17218.0,37.42818909126322,-5.432142857142857,-0.6,-15.9,90.92857142857143,98,77
2011-01-24,2011,4,4600276,28598.0,62.16583526727526,-6.477380952380953,-0.3,-16.9,87.57142857142857,94,79
2011-01-31,2011,5,4600276,30927.0,67.2285749811533,-2.5136904761904764,1.1,-12.4,90.94642857142857,98,82
2011-02-07,2011,6,4600276,37033.0,80.50169163763218,-10.70952380952381,-1.2,-19.2,83.85119047619048,97,70
2011-02-14,2011,7,4600276,30160.0,65.56128371428149,-21.751190476190477,-15.6,-27.0,77.30357142857143,83,67
2011-02-21,2011,8,4600276,7987.0,17.36200175815538,-14.607142857142858,-4.5,-22.4,80.17261904761905,87,67
2011-02-28,2011,9,4600276,28080.0,61.039815871917256,-5.821428571428571,0.1,-15.7,83.92261904761905,94,65
2011-03-07,2011,10,4600276,8844.0,19.22493346051411,-2.5785714285714283,1.7,-12.2,82.88095238095238,95,59
2011-03-14,2011,11,4600276,16887.0,36.70866704519468,-3.1464285714285714,2.9,-11.8,82.76190476190476,96,62
2011-03-21,2011,12,4600276,8894.0,19.33362259134017,-3.155357142857143,4.6,-11.2,79.36904761904762,96,55
2011-03-28,2011,13,4600276,5085.0,11.053684605010655,-2.0630952380952383,5.8,-10.8,81.89880952380952,97,54
2011-04-04,2011,14,4600276,1466.0,3.1867653158201814,2.463690476190476,6.9,-1.6,86.18452380952381,100,63
2011-04-11,2011,15,4600276,2349.0,5.106215366208462,1.4375,8.9,-4.2,78.95238095238095,100,58
2011-04-18,2011,16,4600276,448.0,0.9738546122015288,4.666666666666667,14.7,-4.2,71.85119047619048,94,47
2011-04-25,2011,17,4600276,3311.0,7.197394243301924,7.2821428571428575,17.7,-0.2,68.81547619047619,99,36
2011-05-02,2011,18,4600276,891.0,1.936840311320451,5.123214285714286,15.5,-2.0,81.85714285714286,99,43
